"id","link_n","title_n"
1,"/wbase/38
","Whatsapp 再向 Telegram 「學習」！疑推超大型 Animated Emoji"
2,"/wbase/39
","「Google Career Certificates 計劃 2023」 裝備數據分析技能、提升競爭力"
3,"/wbase/40
","Seagate 被罰 3 億美元 原因：向華為出售 Harddisk"
4,"/wbase/41
","Hyundai Mobis 研發車用可捲曲顯示屏 全球首創開車後可顯示行車資訊"
5,"/wbase/42
"," Sony REON POCKET 4 電量升級更長氣！配外置 TAG 調溫效能更好"
6,"/wbase/43","上海首個智能斑馬線預警系統登場 紅光及語音提示注意安全"
7,"/wbase/44","Google 向監管機構屈服 將開放 Google Play 第三方支付選項"
8,"/wbase/45","Adobe 確認 Firefly 將加入 Creative Cloud Firefly 全面提升影音創作效率"
9,"/wbase/46","Google 大難臨頭？ 傳 Samsung Galaxy 裝置改用 Bing 為預設搜尋引擎"
10,"/wbase/47","漢科開倉大激減 MSI、Acer 電競顯示器低至 7 折！"
