"id","author","link_p","title","middle_data","attributes","link_web"
1,"| 蘇家華 | 20-04-2023 12:40 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3508259/0419_30carrollabledisplay_01_1024.jpg","Hyundai Mobis 研發車用可捲曲顯示屏 全球首創開車後可顯示行車資訊","可捲曲顯示屏不是甚麼新鮮事，例如 LG 等品牌都有在不同展示這產品，不過如果是車用可捲曲顯示屏，由 Hyundai Mobis 花了兩年時間研發的新產品，就是全球首創。

Hyundai Mobis 研發的車用可捲曲顯示屏，是為全球首款可應用於車廂中的柔性屏幕，當中特別之處是當汽車熄匙時，屏幕會收起來隱藏於車廂中，當開車時，用家可選擇展開 1/3 屏幕來顯示基本行車資訊，又或者展開 2/3 屏幕來使用導航功能。品牌表示，這款車用可捲曲顯示屏會安裝於車內通常設置導航系統的位置，即中控台一帶，也因着其可捲曲的設計，能為車廠帶來更多車廂設計的可能性。供了更多空間來提出創造性的室內設計概念。

現時這款車用可捲曲顯示屏的目標顧客是歐美奢侈車廠，日後產品將配備 QHD 或更高的解像度，以及 30 吋以上的版本，迎合之後車用顯示屏潮流。","none","/wbase/1"
2,"| 周傳禮 | 20-04-2023 18:36 |","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3509766/20230420_AIR_a01_1024.jpeg","Whatsapp 再向 Telegram 「學習」！疑推超大型 Animated Emoji","Facebook 旗下的 Whatapp 好多人用，只是功能老是向對手 Telegram「學習」。最近又有指 Whatsapp 有意強化 Emoji 功能，引入 Telegram 般的 Animated Emoji 動畫化表情符號，而且更會同時升級至大尺吋版本，一改 Whatsapp 現有的 Emoji 生態。

跟據 WABetaInfo 資料所示，Whatsapp 正有意為用家引入 Animated Emoji 將表情符號動態化，似足 Telegram，而且新版 Emoji 亦會像 Telegram 般增大，務求使對話更有趣好玩。

提提大家 Telegram 容許用家關閉 Animated emoji 功能，而目前 Whatsapp 的 Beta 版本則未有；但個人預計為配合不同用家喜好，相信 Whatsapp 在正式推出時，都會加入相應選項。當然，目前 Whatsapp 未有公布正式推出相關功能的時間表。","none","/wbase/2
"
3,"| 蘇家華 | 21-04-2023 21:05 |","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3508246/0419_20iphone15_01_1024.jpg","傳 iPhone 15 及 15 Plus 起用磨砂機背 觀感更似 Pro 型號","之前關於 iPhone 15 系列的傳聞都跟高階的 Pro 型號有關，較少跟 iPhone 15 及 15 Plus 有關，不過近日一個微博 post 就傳出 iPhone 15 及 15 Plus 將起用磨砂機背，令觀感更似 Pro 型號。

近日一個微博 post 透露  iPhone 15 及 15 Plus 將用磨砂玻璃機背，令觀感更似 Pro 型號，而此前這個微博帳戶曾「透露」iPhone 14 會加推黃色版的。不過，有傳聞稱 iPhone 15 及 iPhone 15 Plus 仍用鋁製框架和相同的邊框尺寸，只有 iPhone 15 Pro 機型會採用新鈦金屬框架，而顯示屏周圍的邊框也會更纖薄。事實上 iPhone 的 Pro 型號是會有部分現元素下放於普通版之中，如 OLED 屏幕最初只配備於 iPhone 12 Pro 系列，而動態島是去年 iPhone 14 Pro 系列的獨家配置，但來到即將推出的 iPhone 15 系列就會全型號配備。","none","/wbase/3"
4,"| 黃俊翔 | 21-04-2023 19:41 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3510000/3510552/2304217link01_1024.jpg","Linksys 推出 5G CPE 裝置 伙 csl 推出優惠月費免費送機","Linksys 在香港發佈全新的 Linksys FGW5500 5G WiFi 6 CPE 路由器，它是針對家居 5G 寬頻而設的產品，今次更與 csl 合作，只要選擇指定服務計劃，用戶便可免費入手。

Linksys FGW5500 5G WiFi 6 CPE 路由器，支援雙頻 WiFi 6 模式，只要插入 SIM 卡後，便可提供全居家居寬頻上網，完全免除拉線的麻煩，特別適合唐樓、村屋等光纖網絡未有覆蓋的地區使用。在規格上此機支援 WiFi 6 (AX5400)制式，最高頻寬達 5.4Gbps。它採用 5G NR 無線接入技術，內建 Qualcomm SDX62 5G 模組，最多可連接超過 250 部裝置，並可覆蓋高達 3,000 平方呎，就算全屋再多的 IoT 裝置亦不用擔心。

它的機身同時設有 2.5G WAN/LAN 接口，用戶可因應需要選擇連接額外的光纖寬頻，實現的雙網絡系統。此機又支援 SIP 網絡通訊協定的無線 VoIP 功能，配合標準電話線，可同時提供語音通話功能。此機的定價為 $2,999，現時 Linksys 與 csl 合作，推出 5G 寬頻優惠計劃，只要 $168 月費，並簽訂 37 個月服務合約，便可免費獲得這款 5G 路由器。同時，合約期內將可獲贈 NETVIGATOR SHiELD 及 Now E Now 精選組合。","none","/wbase/4"
5,"| 黃俊翔 | 21-04-2023 19:00 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3510000/3510632/2304217asus01_1024.jpg","1cm 極緻纖薄 Notebook ASUS Zenbook S 13 OLED 正式開賣","對於每日要攜帶 Notebook 外出的用戶，機身當然越輕越薄就更好，不少廠商都在挑戰極限。今次，ASUS 便成功製作出只有 1cm 厚、1kg 重量的 Zenbook S13 OLED，並能提供高效能的表現。

全新一代的 Zenbook S 13 OLED，在設計上成功做到 1cm 纖薄與 1kg 輕巧機身，便攜性極高，即使是女士們攜帶外出亦不會有太大負擔。它的機身採用磐石灰配色，低調得來又展現出高雅感覺，同時它秉持永續理念，機身結構使用再生金屬和塑膠，碳足跡減少 50% 以上，而包裝盒亦 FSC 認證紙材包裝，相當環保。它的外殼採用 ASUS 獨家的電漿陶瓷鋁合金材質，透過對環境影響極小的浸泡製程，並可提高耐磨性、散熱、硬度和使用壽命。","none","/wbase/5"
6,"| 蘇家華 | 21-04-2023 16:32 |","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3508245/0419_19xiaorussia_01_1024.jpg","中國品牌手機在俄市佔率超過 7 成 小米、Realme 包辦前兩名","俄羅斯消費電子產品連鎖店 M.Video-Eldorado 日前公布今年第 1 季智能手機銷售數據，當中提到中國品牌手機在俄市佔率已經超過 7 成，而小米及 Realme 更分別成為最暢銷手機品牌首兩位的。

據 M.Video-Eldorado 第 1 季智能手機銷售數據所知，中國品牌手機在俄羅斯的市佔率比去年大增 42% 至超過 70%，其中小米、Realme 包辦最暢銷手機品牌的前兩名，而 Apple 及 Samsung 的排名就分別由去年同期的第 1、3 位，跌至今年的第 3、4 位。

據報智能手機銷售數據會有這樣的變化，除了 Apple 及 Samsung 因應俄烏戰爭而減少在當地的賣機數量，另一原因是俄國更為依賴中國品牌的產品。說來去年 M.Video-Eldorado 和當地電訊商 MTS 都因應西方制裁致經濟萎縮和薪金下降等因素，開始銷售二手智能手機及折扣機種，為當地消費者提供更便宜的電子產品選擇。","none","/wbase/6"
7,"| 蘇家華 | 21-04-2023 22:42 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3509152/0420_40maff_01_1024.jpg","日本農林水產省善用 ChatGPT 主責簡化官方文件","現時全球多個機構或企業已開始用 ChatGPT 等 AI 工具，成為打工仔的工作好幫手。日前日本政府部門農林水產省都善用 ChatGPT，專門簡化官方文件，便其更易令人明白。

日本農林水產省大臣野村哲郎表示，日本農林水產省現正使用 OpenAI 旗下 AI 工具 ChatGPT 來簡化官方文件，使其更易看得明白。當中是日本政府部門首度使用 ChatGPT 來協助處理工作，而 ChatGPT 也只會處理已經公開的資訊，不存在收再機密資料的可能。

早前日本經濟產業省也計劃使用 AI 工具來更新補貼填寫申請和其他公共網上手冊，而原來日本每年都要修改數千頁的監管規定，目前該部門就將這項任務全部外判出去。","none","/wbase/7"
8,"| 周傳禮 | 13-04-2023 20:30 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3500000/3503053/20230412_AIIR_a01_1024.jpeg"," ASUS ROG 7 旗艦 Gaming Phone 上手試！備流動 Subwoofer 讓 2.1 聲道隨身","ASUS ROG Phone 7 為第六代的 Gaming Phone，以往年年 ROG 電話都為用家帶來不同新意，今年 ROG 7  亦不例外。除了效能繼續升級，換上最強的 Snapdragon 8 Gen 2 處理器，更在新推出的 AeroActive Cooler 7 上加入了 Subwoofer，讓電話都可以擁有  2.1 聲道效果，全面強化電話在視聽娛樂上的體驗。

影音專用散熱扇 
新一代 AeroActive Cooler 7 的體積比上代更大，除了可找到相當實用的 4 個實體按鍵外，原來 AeroActive Cooler 7 還內置了 SubWoofer；用家只要接上金 ROG Phone 7 機旁的 USB-C 埠，即可為電話帶來更好的音效體驗，讓 2.1 聲道音效隨身攜帶。值得一提是 AeroActive Cooler 7 還可拉出腳架，更備有 3.5mm，設計及功能上均相當全面。

至於散熱效能方面，AeroActive Cooler  7 繼續有表現；官方指透過散熱扇，機背溫度最多可以降低 25ºC，而屏幕溫度則可降低 8ºC，使電話長期遊玩時亦不會燙手，更可以長期保持電話效能，確保遊戲幀率穩定。另使用 AeroActive Cooler 7 時需注意散熱模式，基本分有風冷、酷寒及急凍，而當中的急凍模式需要為風扇接上電源才能啟動。","none","/wbase/8"
9,"| 周傳禮 | 05-04-2023 02:49 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3495000/3499735/20230405_AIR_a01_1024.jpg"," Samsung Galaxy A34 / A54 中階機上手試！平玩自家 Nightography","Samsung 早前推出中階機 A34 及 A54，用色突出之餘，實用都不俗。兩機有齊 5G、大屏幕、5,000 mAh 大電池外，還引入 Galaxy S 系列大賣的 Nightography 技術，提升中階機在晚上旳拍攝表現。

晚間實拍效果即睇
Samsung Galaxy A34 / A54 雖然同為三攝系統，但機身鏡頭配置略有不同；A34 為 48MP 廣角、8MP 超廣角及 5MP 微距，而 A54 則為 50MP 廣角、12MP 超廣角、5MP 微距。兩者都引入了 Samsung 旗艦級的 Nightography 技術，夜拍表現比以往好。

值得一提是 A54 當中的 50MP 主攝鏡感光元件達 1 / 1.56 吋，與 S23+ 等同級，當然調色上依然有一定分野，但整體其實幾好；至於 A34 則表現確實一般。

用色入時．設計實用
Samsung Galaxy A34 / A54 都有四色機身選擇，A54 為 草綠、白、紫、石墨，而 A34 為草綠、銀、紫、石墨售價為 HK3,998。另 A34 機背更略帶金屬感，效果不俗。另 Galaxy A54 型號級別雖然較高，但屏幕尺吋只有 6.4 吋，比 Galaxy A34 的 6.6 吋要細；因 Galaxy A54 採 Infinity-O 開孔屏，而中 A34 則為 Infinity-U 屏幕，加上 A54 支援 HDR10+ 技術，追畫面的話還是 A54 較佳。

效能實用為主但有大電量
Galaxy A34 / A54 處理器都非常見的 Snapdragon 系列，A34 採用 MediaTek Dimensity 1080 而 Galaxy A54 則為自家 Samsung Exynos 1380。效能兩機未算突出，但好消息是兩機都有 5,000 mAh 大電量，加上 5,000 mAh 電池及 25 快充技術，都幾實用。只是新機沒有火牛，要用快充就要自己另行入手。

Samsung Galaxy A54（8 / 256）售價：HK$3,998

Samsung Galaxy A34（8 / 128）售價：HK$2,998","none","/wbase/9"
10,"| 黃俊翔 | 25-03-2023 14:22 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3485000/3489664/2303237sim01_1024.jpg","復活節外遊打卡必備 海外 5G 上網卡大搜查","復活節即將來臨，相信不少人都會準備外遊，打卡自然係指定動作，用埋 5G 卡就更加爽，旅行搭車途中睇 Netflix 都唔怕窒窒下。今次 ezone.hk 就走到最多外遊卡賣的鴨寮街一帶，睇睇市面上有甚麼抵用的海外 5G SIM 卡！

今次 ezone.hk 就訪問 SIM 卡檔老闆 Jeffery，他指出現時不少港人熱門旅遊的國家及地區，都有 5G 覆蓋，而 5G 數據卡的價錢亦與 4G 卡相若。相比以往外遊 SIM 只支援單一國家，現時有不少多國漫遊卡出現，一次過就可以支援整個亞洲或歐洲地區，就算一次過去長途跨國旅行都不成問題。以下就為大家介紹幾款抵用的 5G 外遊 SIM，比直接用漫遊服務更抵，復活節出旅就更加方便！以下 5 張 SIM 卡，就是店主的心水推介！

Card 1 : 泰國至筍 dtac Happy 遊客卡

呢張 dtac Happy 遊客卡，雖然卡面寫 4G，但店主話宜家已經升級至 5G，仲包 15 日頭 15GB 數據，之後都仲可以用 4G 網絡無限上網，入面仲包埋少少通話金額，夠打幾個當地電話。

售價：$28

Card 2 : 日韓台抵用 5G true Travel SIM 漫遊卡

店主推介去最多香港人鍾意嘅的日本、韓國及台灣，可以考慮 true Travel 亞洲 SIM，佢最好的地方就是一次過包幾大熱門旅遊亞洲國家同地區 5G 上網，10 日內有 10GB 數據可以用，而最緊要日本網絡方面講明用 Softbank 或者 Docomo，上網夠穩定。

售價：$80

Card 3 : 英國 3 UK 任打電話上網卡

3 UK 推出的呢張卡，有 10GB、25GB 及 50GB 數據流量揀，全部都是有效期一個月，而且有效期內當地電話係無限任打，就算同當地親友慢慢傾心事都無問題！

售價：$85 (10GB)、$125 (25GB)、$150 (50GB)

Card 4 : O2 歐洲漫遊卡

有唔少朋友去歐洲旅行的時候，都唔止去一個國家，呢張 O2 推出的漫遊卡就最適合啦！因為佢通行全歐洲 48 個國家，包括英國、德國、法國、荷蘭、意大利等等，使用 4G 還是 5G 就視乎當地網絡而定，有效期一個月，有 3 種數據用量選擇。

售價：$90 (7GB)、$150 (20GB)、$268 (100GB)

Card 5 : T-Mobile 美國 5G 卡

如果去美國的用戶，可以考慮 T-Mobile 出品的 5G 卡，佢包 30 日無限上網，全程狂煲 Netflix 都無問題。店主話呢張卡 Android 同 iPhone 用都無問題，而市面另一張同類卡就只支援 iPhone，大家要留意了！

售價：$250

查詢：SIM City (6600 9986)","none","/wbase/10
"
